"system","classification","current_status","main_files","what_works","incomplete","known_ux_issues","technical_debt","blocks_closed_beta","recommended_next_action","estimated_pass_size","timing"
"Command Centre","Usable but needs polish","Compact home is routed as post-login and /my-hub with Decision Engine-backed mission objectives alerts recommendations trade summary system summaries and Tool Deck.","lib/main.dart; lib/features/trading_hub/arc_raiders/screens/arc_command_centre_screen.dart; lib/features/trading_hub/arc_raiders/data/arc_command_centre_engine.dart; lib/features/trading_hub/arc_raiders/widgets/command_centre/","Home routing compact hierarchy top-three caps optional detail panels Tool Deck access and live data adapters work.","Needs seeded-account QA to prove completed actions disappear across every source system.","Card density and authenticated web/mobile rendering need final review.","Many signals depend on separate repositories emitting consistent completion state.","No if seeded QA passes.","Run Command Centre seed-state QA after Firebase/rules hardening.","medium","pre-beta"
"My Hub","Closed Beta ready","/my-hub opens Command Centre while legacy My Hub remains available through Tool Deck behaviour.","lib/main.dart; lib/features/trading_hub/arc_raiders/screens/my_hub_screen.dart; Command Centre screen/widgets","Main home no longer surfaces old My Hub as primary route.","Confirm drawer tracking and deep links all hit the intended route.","Tool Deck should remain useful but secondary.","Legacy route naming can confuse future maintainers.","No","Keep route naming note in release QA.","small","pre-beta"
"Blueprint Tracker","Closed Beta ready","Stable tracker with protected grid logic ownership duplicate state asset mapping in-game framed view and jump controls.","lib/features/trading_hub/arc_raiders/screens/blueprint_grid_screen.dart; lib/features/trading_hub/arc_raiders/widgets/blueprint_tile.dart; blueprint catalogue/data files","Full-grid view ownership display duplicate display canonical assets and protected grid order work.","Optional beta polish around framed in-game presentation only.","Manual mobile and desktop jump-control check required.","Protected areas intentionally constrain refactors.","No","Manual QA only and do not alter protected logic.","small","beta follow-up"
"Scrappy / Bench / Quest Trackers","Usable but needs polish","Shared tracker screens and intelligence feed Command Centre and Operations with manual or grouped completion support.","lib/features/trading_hub/arc_raiders/screens/scrappy_and_quests_screen.dart; quest bench and resource intelligence files","Trackers are reachable responsive and can surface blockers/resource needs.","Dedicated quest-chain state prerequisite enforcement Scrappy upgrade-level state and bench upgrade proof docs remain incomplete.","Carousel/card density should be checked on mobile.","Manual tracker completion blurs true game progression versus checklist state.","Partially if Operations rewards depend on these milestones.","Add dedicated proof bridges for beta-critical milestones.","large","pre-beta"
"Favourite Loadout","Closed Beta ready","Saved loadout canonical weapon/attachment database compatibility registry image mapping and six quick-use slots are in place.","lib/features/trading_hub/arc_raiders/screens/favourite_loadout_screen.dart; lib/features/trading_hub/arc_raiders/data/arc_loadout_seed_data.dart; lib/features/trading_hub/arc_raiders/data/arc_weapon_attachment_database.dart; lib/features/trading_hub/arc_raiders/data/arc_loadout_asset_registry.dart; lib/features/trading_hub/arc_raiders/data/arc_saved_loadout_repository.dart","Persistence attachment mapping safe fallbacks weapon/equipment/augment support and Command Centre intelligence links work.","Final compatibility sweep as real data evolves.","Image fill/card fit should be spot-checked on all viewport classes.","Compatibility data needs maintenance as game database changes.","No","Seeded QA with owned and missing assets.","small","pre-beta"
"Smart Trade Assist","Usable but needs polish","Trade Intelligence scores matches duplicates wanted items resources and recommended actions.","lib/features/trading_hub/arc_raiders/screens/smart_trade_assist_screen.dart; trade intelligence engine/model files; resource intelligence engine/model files","Suggestions are deterministic and use existing data where safe.","Live volume reputation weighting and listing quality need beta tuning.","Helper labels need mobile readability review.","Multiple trade/listing repositories create integration complexity.","No but should be monitored closely.","Trading privacy/index cleanup and seed trade scenarios.","medium","pre-beta"
"Trading Listings","Usable but needs polish","Listings are reachable integrated with trade intelligence and governed by Firestore rules/indexes.","Trading listing screens/repositories; firestore.rules; firestore.indexes.json","Listing surfaces and counts feed Command Centre where safe.","Active legacy/current collection usage needs final audit.","Mobile card density and action reachability need live QA.","trading_listings and arc_trade_listings both exist in indexes/rules.","Only if privacy/index review finds a defect.","Confirm canonical collection and query/index coverage.","medium","pre-beta"
"Trading Sessions","Usable but needs polish","Session planner trade session models reminders calendar export/share and ready/complete/no-show actions exist.","lib/features/trading_hub/arc_raiders/screens/session_planner_screen.dart; lib/features/trading_hub/arc_raiders/services/trading_push_service.dart; session repositories/models","Session planning local reminders on supported platforms and calendar/share hooks work.","15-minute pre-session reminder and 15-minute post-session feedback prompt are not fully aligned with beta requirement.","One inspected session status string contains mojibake and should be cleaned.","Web push fallback is limited.","Yes if reminder/feedback promise is marketed.","Implement exact reminder timing and feedback prompt flow.","medium","pre-beta"
"Trading Intel","Usable but needs polish","Intel reports confirmations demand signals and Command Centre summaries are present.","Intel report screens/repositories; trade intelligence; operations seed/progress data","Intel reporting can contribute to operations and recommendations.","Verified intel quality and anti-spam moderation need live beta policy.","Empty states should remain quiet when no reports exist.","Reputation weighting depends on trustworthy report history.","No","Add beta moderation/admin review checklist.","medium","beta follow-up"
"Match Rider / Matchmaking","Usable but needs polish","Feature-gated Match Rider flows matchmaking/session models favourite riders and operations hooks exist.","Match Rider screens/repositories/models; lib/features/trading_hub/arc_raiders/data/arc_operations_seed_data.dart; route gates in lib/main.dart","Sessions can be created/joined and tracked enough for beta testing.","Live matchmaking quality trust hints and notification loops need QA.","Mobile route/action reachability needs live testing.","Multiple session collections require rule/index discipline.","No if scoped as beta feature; yes if real-time guarantees are promised.","Seed two-user QA and notification flow test.","medium","pre-beta"
