feature,entry_screen,source_of_truth,reads,writes,persistence,completion,command_centre,operations,rewards,notifications,reset_classification,migration,tests,status,severity,notes
Authentication,AppEntryGate/FirebaseAuth,Firebase Auth and users/{uid},FirebaseAuth/users doc,FirebaseAuth/users doc,Account-level auth state,Signed-in user present,Required before Command Centre,Login telemetry records once per UTC day,None,None,Preserved,None,Existing auth tests,wired,P2,Auth provider setup intentionally untouched
Onboarding,OnboardingBasicProfileScreen,users/{uid}.arcOnboarding,User doc,User doc and local prefs,arcOnboarding/completedAt/completedSteps,Profile evaluator checks completed state,Missing onboarding suppresses personalised priorities,Profile completion telemetry fires when evaluator completes,Onboarding/profile rewards via eligibility reconciliation,None,Preserved,Existing users repaired by profile completion refresh,Onboarding legal tests,partially wired,P1,Focus/highlight repaired in PASS 259B; season reset must not wipe onboarding
Legal consent,LegalGate and onboarding legal step,users/{uid}.legalAccepted,User doc,User doc,termsAccepted/privacyAccepted,Profile evaluator checks legal accepted,Missing legal becomes setup blocker,None,None,None,Preserved,No forced inference for old users,Onboarding legal tests,wired,P1,Preserved through reset policy
Profile,ArcProfileSetup/Edit/Profile screens,users/{uid} and trading_activity/profile,ArcTraderProfileRepository,ArcTraderProfileRepository,profileCompletion/traderProfile/profile mirror,ArcProfileCompletionEvaluator,Primary setup blocker until complete,Profile completed telemetry,Eligibility reconciliation can grant profile-linked rewards,None,Preserved,ArcUserInitializer refreshes completion,Profile completion tests,wired,P1,Startup refresh keeps profile state durable
Availability,ArcAvailabilityScreen,users/{uid}/trading_activity/availability,ArcTraderProfileRepository,ArcTraderProfileRepository,availability weeks and profile summaries,ArcProfileCompletionEvaluator,Setup blocker until active availability exists,Availability telemetry,No direct reward,Trade notifications use availability,Preserved,Initial availability doc ensured,Profile completion tests,wired,P1,Reset policy preserves availability
Command Centre,ArcCommandCentreScreen,Decision Engine inputs from repositories,Command Centre engine and repositories,No direct writes beyond actions,Derived view state,Decision Engine ranks candidates,Primary home surface,Operations state shown,Reward/Operations summaries shown,Alert cards plus reset entry,Recalculated,Startup reconciliation improves inputs,Command Centre engine tests,partially wired,P1,Compact UX exists and public reset entry is wired; full candidate suppression still depends on future quest/level models
Blueprint Tracker,Blueprint tracker screens,users/{uid}/arc_blueprints and duplicate docs,Existing blueprint repositories,Existing blueprint repositories,Owned/duplicate/target docs,Existing blueprint completion logic,Blueprint summary and missing/duplicate signals,Blueprint intel telemetry paths,No direct reward change,None,Seasonal by approved expedition rules,No reset changes in this pass,Blueprint state/layout tests,wired,P2,Protected grid/tile/ownership/duplicate logic untouched
Favourite Loadout,FavouriteLoadoutScreen,Saved loadout state and asset registries,Loadout helpers and registries,Existing loadout save path,Saved selections and asset paths,Completion inferred by loadout intelligence,Loadout objective and missing item signals,Favourite loadout saved telemetry,Related rewards via Operations,None,Recalculated,No new persistence in this pass,Loadout tests,partially wired,P1,Reset should recalculate missing items; no layout changes made
Scrappy Tracker,ScrappyGridScreen scrappy mode,users/{uid}/arc_scrappy_states,ArcScrappyRepository and reset repository,ArcScrappyRepository,Per-item manual tracked state,Manual progress readiness from item requirements,Decision Engine can prioritize current Scrappy action,Operations can consume telemetry where wired,No new reward in tracker itself,None,Reset,Season reset can archive/delete known Scrappy docs,Season model tests,partially wired,P1,Manual resource model preserved; bulk group completion now requires confirmation but separate level advancement model is deferred
Bench Tracker,ScrappyGridScreen bench mode,users/{uid}/arc_scrappy_states,ArcBenchIntelligenceEngine and reset repository,ArcScrappyRepository,Per-resource manual tracked state,Manual requirement completion,Bench intelligence feeds Decision Engine,Operations can receive durable events where wired,No direct reward in tracker itself,None,Reset,Season reset can archive/delete known bench docs,Season model tests,partially wired,P1,Group completion now requires confirmation; no fake automatic resource ownership added
